Tag,UserID,Answers,Accepted,Votes,Reputation,AvgAnswerLength,AvgAcceptedLength,LastActiveTime,Days,Score
swing,992484,615,781,3004,173798,2066.017886,2472.137004,1419976200,20,893.9065797
swing,522444,358,462,2194,171478,1690.846369,1930.876623,1419863570,22,612.9913752
swing,2587435,304,419,1412,40777,1860.289474,2272.076372,1418577166,36,456.1801099
swing,131872,521,401,1550,149318,605.8752399,783.0798005,1419957260,21,363.2077985
spring,438154,162,234,598,103745,658.8148148,810.3547009,1419546475,25,220.8385932
android,115145,144,200,551,438380,557.5069444,716.11,1419967351,20,193.8633401
eclipse,2670892,114,220,368,27666,406.1842105,484.8409091,1419926946,21,186.033324
swing,1795530,87,144,506,12260,2001.333333,2012.277778,1420801126,11,172.433414
regex,548225,126,151,501,223019,267.1349206,292.218543,1419273379,28,153.6974923
android,101361,160,172,476,63080,422.225,439.2906977,1419790276,22,150.0491942
swing,418556,148,127,664,114923,1292.587838,1888.590551,1419816702,22,149.1244506
android,653856,108,154,354,71722,817.5925926,864.5974026,1411877474,114,136.636453
spring-mvc,438154,68,124,297,103745,683.3676471,771.5241935,1419546475,25,122.8136397
swing,230513,199,114,692,144530,817.7236181,797.2982456,1419804167,22,118.9899421
xml,383861,108,158,249,85155,896.962963,1107.962025,1419993443,20,118.2798603
swing,3218114,139,130,419,30153,757.2517986,949.4076923,1415707147,70,116.1330981
string,1428606,0,1,315,7549,0,1753,1388993486,379,108.81691
hibernate,571407,57,113,240,279389,632.9298246,605.3451327,1419957014,21,107.9998696
regex,1393766,73,96,347,40110,1042.726027,1069.635417,1419273602,28,107.1400331
hibernate,1025118,217,163,353,10308,782.562212,789.3128834,1420126647,19,104.9442321
spring,2696260,58,111,233,16574,1279.982759,1292.918919,1419018626,31,104.2845788
user-interface,992484,75,98,320,173798,1847.44,2129.316327,1419660566,24,102.4287248
jpa,1025118,108,125,288,10308,829.3425926,798.408,1420126647,19,101.9910864
json,438154,44,105,202,103745,536.0454545,739.9238095,1419913522,21,100.9366515
android,343664,0,1,291,5349,0,426,1404188233,203,100.57783
eclipse,343664,0,1,291,5349,0,426,1404188233,203,100.57783
jsp,573032,103,148,166,22238,597.9126214,597.1418919,1419773103,23,96.4365494
generics,1679863,25,56,278,92484,958.2,918.9285714,1409326744,144,93.28738914
spring,2504224,113,111,271,11747,615.7787611,640.5945946,1413802556,92,86.75068975
android,501696,111,93,306,50518,340.7477477,444.311828,1419074540,31,79.66092794
generics,1707091,31,49,271,80764,701.516129,795.9795918,1418928681,32,78.48050394
generics,438154,57,56,324,103745,671.9649123,927.2142857,1419832406,22,75.63088177
android,22656,26,46,237,744456,743.1153846,820.5,1419857477,22,72.91483958
swing,301607,85,75,287,34733,378.2470588,642.84,1419925932,21,72.40425703
android,82788,40,80,146,21289,653.6,805.625,1420130843,19,71.19924667
regex,3297613,107,84,271,51534,462.5700935,571.3333333,1419953985,21,68.77357508
servlets,438154,25,62,138,103745,625.76,791.6612903,1419873779,21,64.81220241
spring,2756547,58,89,121,10068,554.637931,718.3707865,1419094863,30,63.80689109
android,4339477,0,1,179,1780,0,560,1418085485,42,62.12879
swing,2894369,63,65,213,7713,834.4761905,1003.384615,1419429020,27,61.43073066
jpa,571407,29,61,133,279389,611.4137931,521.2622951,1418546799,37,60.17758106
swing,714968,80,48,356,92927,1684.6875,1723.416667,1419335848,28,59.8208625
user-interface,522444,52,50,244,171468,1806.115385,2495.64,1419107643,30,59.20584804
swing,871026,36,42,225,97684,222.8333333,286.2380952,1418847495,33,58.09022423
arrays,22656,15,32,181,744456,986.9333333,955.03125,1419857477,22,57.70113362
multithreading,438154,39,45,210,103745,890.3076923,584.8888889,1419946088,21,56.22123214
multithreading,22656,11,21,205,744456,671.8181818,816.6666667,1419363196,27,55.96689328
regex,1078583,42,53,180,23395,796.5,886.8301887,1406804527,173,55.932437
string,22656,19,24,240,744441,1045.578947,989.9166667,1416813172,57,55.70621302
swing,3182664,41,59,149,16404,3059.658537,3087.779661,1418391602,39,55.24113655
android,1380752,28,57,121,28138,780.2142857,750.3508772,1417883659,45,54.91590565
spring,1240763,41,71,104,15980,471.4146341,652.8591549,1419604728,25,54.72615973
multithreading,571407,22,39,167,279389,619.5454545,486.4102564,1419944654,21,54.41339459
sockets,207421,192,111,179,129140,362.75,436.8198198,1419848729,22,54.26923347
arrays,2970947,126,74,254,61282,585.7619048,693.027027,1419826966,22,53.6028879
android,1266326,0,3,150,2376,0,2025.333333,1415235258,75,53.531205
user-interface,2587435,35,50,153,40777,1574.028571,2296.52,1417850935,45,52.08088824
arrays,335858,21,41,140,307351,627.7619048,664.3414634,1419945876,21,51.01071871
arrays,1221571,77,57,221,61015,492.0909091,527.7719298,1419945828,21,50.66679593
spring,3498062,40,59,121,8387,720.025,736.5084746,1408702258,151,50.03546253
arrays,1707091,47,39,236,80764,454.0851064,596.8461538,1418680851,35,50.0060993
multithreading,1103872,33,34,211,84049,634.9393939,778.9117647,1418377042,39,49.46082
spring,1259109,61,64,144,11540,365.3606557,423.78125,1419009289,31,49.40134144
sql,521799,13,47,81,55333,625.4615385,799.5531915,1418801195,34,47.38059425
generics,22656,10,21,160,744456,1016.3,773.8095238,1419511289,26,47.26736565
spring-mvc,2504224,38,53,125,11747,742.1578947,748.0566038,1414351291,85,47.25685593
android,3444777,70,64,147,13829,581.3142857,665.921875,1412798108,103,46.82873075
spring,571407,30,47,122,279389,636.3,519.3829787,1418582265,36,46.12319669
regex,2206004,40,41,168,38542,450.6,410.2682927,1418954034,32,44.47788574
regex,2353911,53,45,176,15709,770.0943396,771.4666667,1418909256,33,43.20914694
android,1221571,44,48,131,61030,511.5909091,625.6458333,1419944113,21,41.82147391
json,3537858,28,53,75,3173,1600.142857,1993.169811,1418678385,35,41.4738937
netbeans,2587435,36,45,121,40777,1299.361111,1158.666667,1417526870,49,41.23117778
generics,2891664,10,29,101,11426,1434.7,1417.551724,1419195431,29,40.86256897
multithreading,179850,22,32,132,62416,1172.227273,1385.5625,1397748418,278,40.49772444
multithreading,2711488,30,42,113,23786,1433.8,1443.095238,1418908922,33,40.29605708
swing,1048330,17,32,110,15307,928.2352941,1226.9375,1418063534,42,39.50533551
android,2310866,18,37,94,8725,1434.055556,3421.675676,1417984386,43,39.323415
android,2959171,0,1,111,1226,0,187,1404043410,205,38.78473
string,1393766,43,37,161,40110,1173.511628,949.4864865,1419273602,28,38.35460006
string,438154,17,24,140,103745,494.4117647,705.0416667,1419799100,22,38.25922829
android,2850651,8,41,50,6960,678.625,947.097561,1418960918,32,38.05045582
spring,2898867,69,52,137,11596,922.884058,1046.903846,1399145360,261,37.13397785
multithreading,522444,15,29,104,171478,1138.4,1691,1419025570,31,37.0922325
android,1423227,52,51,104,8182,624.7115385,749.372549,1414741780,81,36.3425084
android,675383,13,16,156,17502,509.3076923,1277.0625,1417556176,48,35.96383724
arrays,1065197,12,26,96,49705,862.8333333,828.2307692,1419961083,20,35.11206263
android,3249477,61,57,88,11169,533.8852459,736.4912281,1419871537,22,35.02581407
jsp,438154,22,40,74,103745,681.9090909,591.45,1417715891,46,34.74882581
multithreading,1305501,11,26,90,21402,1421.727273,1163.5,1405335011,190,34.57218946
regex,1343161,6,22,81,28943,412.6666667,343.4545455,1415565933,71,33.86304036
string,2970947,69,38,188,61282,629.1304348,602.2105263,1419402737,27,33.52884364
generics,1003142,21,21,150,21610,657.1428571,674.9047619,1419529990,25,33.495705
multithreading,57695,61,40,155,251832,648.6065574,725.575,1419709982,23,33.25449505
android,550966,8,23,83,23092,741.375,730.0434783,1419310977,28,33.07692323
spring,1025118,55,45,112,10308,775.2727273,1011.488889,1420126647,19,32.5111455
swing,2415194,28,28,128,11634,959.3214286,1094.785714,1402171006,226,32.30232
android,2649012,18,35,70,14762,377.5,596.8,1418057138,43,32.26384198
spring,3545273,99,59,117,15522,976.9191919,1213.169492,1421001785,8,32.13788066
string,1707091,15,21,115,80764,408.4666667,587.6190476,1419033200,31,31.86297042
android,1631193,98,53,142,25783,326.6020408,410.2264151,1419760286,23,31.76968997
eclipse,2944616,0,1,89,4190,0,1355,1403883310,207,31.23224
string,2670792,11,20,99,22087,385.9090909,553.75,1406785326,173,31.1062129
jsp,1065197,29,37,83,49705,1534.965517,950.972973,1419866299,22,31.01620583
multithreading,139985,31,31,114,284075,1422.645161,1588.032258,1419506804,26,31.006195
arraylist,1221571,46,33,143,61015,524.4565217,748.6363636,1419940410,21,30.99933949
arraylist,22656,8,17,96,744456,917.5,813.0588235,1417503271,49,30.5801882
spring,1065197,12,30,62,49705,812.25,1074.366667,1419432303,27,30.25824286
android,1587046,20,28,92,26579,583.65,644.2142857,1417735180,46,30.20162833
android,1114338,71,46,120,14719,552.3802817,656.4130435,1419231770,29,30.12250436
jdbc,466862,31,35,90,22935,926.0645161,900.2,1419251290,29,29.95642045
jsp,571407,15,31,64,279389,600.6666667,653.8064516,1418454956,38,29.58750522
user-interface,131872,60,38,136,149318,660.2166667,601.4473684,1419957260,21,29.48026429
spring-mvc,2696260,15,31,62,16574,1392.133333,1691.258065,1419869293,22,29.12480326
netbeans,992484,30,31,100,173798,1535.566667,1417.935484,1419976200,20,29.04206287
swing,185322,18,28,80,5879,450.6111111,621.2857143,1417790139,46,28.93540087
mysql,571407,13,28,65,279389,543.9230769,672.1428571,1418595115,36,28.74604976
jsp,3218114,76,47,111,30153,819.5657895,1012.255319,1415792663,69,28.46753317
spring,18122,20,25,96,15225,893.85,744.36,1418217964,41,28.39469167
servlets,1065197,25,34,71,49705,1051.08,1066.352941,1418406705,38,28.19914475
swing,571407,28,22,138,279389,538.8928571,521.8636364,1416729176,58,28.1440192
android,2598988,47,43,78,14554,558.8723404,691.8837209,1410671645,128,28.06714633
android,1676363,11,30,50,23491,532,413.6666667,1418690675,35,27.93879878
string,335858,19,21,109,307351,686.3157895,732.7619048,1419689029,24,27.71914162
regex,3218114,63,39,123,30153,642.3492063,771.1794872,1419397734,27,27.69043015
arraylist,1707091,33,21,159,80764,564.8484848,531.3333333,1418766415,34,27.52896417
swing,1705598,39,32,107,14678,692.9230769,785.78125,1417087811,54,27.38483831
sql,1065197,8,21,67,49705,958.25,1338.714286,1417104670,54,27.32262931
string,1420279,0,1,77,15056,0,4775,1417215713,52,27.1127
netbeans,2060065,0,1,77,786,0,1021,1390234617,365,27.1127
eclipse,1420279,0,1,77,15056,0,4775,1417215713,52,27.1127
arrays,1420279,0,1,77,15056,0,4775,1417215713,52,27.1127
spring-mvc,3545273,53,46,69,15522,1062.943396,1233.347826,1419090798,31,26.97102667
android,438154,15,27,66,103745,610.6666667,583,1419953649,21,26.91944357
jdbc,2144390,22,33,61,34733,1230.5,1381,1419303353,28,26.78697
generics,571407,11,18,88,279389,534.7272727,894.3333333,1415571461,71,26.73956793
arrays,1587046,25,19,138,26579,816.56,825.8947368,1419881808,21,26.66468636
android,2580975,14,27,62,7193,2236.285714,870.4444444,1414397938,85,26.6328889
swing,203657,8,20,67,32870,1783.25,1490.6,1398779300,266,26.46590357
multithreading,829571,17,19,104,114505,664.4117647,665.7368421,1418668046,35,26.18092861
android,991085,34,39,58,5818,664.0882353,761.974359,1416331514,62,25.85575788
regex,1400768,19,25,79,30528,2134,2843.32,1419333127,28,25.69059943
eclipse,2587435,19,26,74,40777,1365,1553.269231,1420133724,18,25.52504644
android,2985303,19,22,91,22995,716.6842105,781.2727273,1418857751,33,25.3794361
android,1777090,37,38,64,11981,587.6756757,677.7894737,1419843071,22,25.31022173
string,1679863,11,14,102,92484,478.2727273,828.6428571,1404540069,199,25.2955388
string,139985,19,11,175,284075,1203.052632,1093.818182,1418524681,37,25.17752783
string,548225,21,23,90,223019,286.4761905,364.826087,1419272537,28,24.96110545
arrays,438154,13,18,87,103745,495.2307692,549.7777778,1413131423,100,24.88358903
multithreading,992484,21,23,89,173798,1739.095238,2569.826087,1419375879,27,24.7816558
android,3265095,54,37,94,6284,568.8703704,936.2162162,1399277728,260,24.63013764
servlets,3218114,50,39,78,30153,928.3,1085.846154,1417766572,46,24.62967219
maven,296328,74,43,97,31649,828.1891892,933.7209302,1419675820,24,24.57252274
android,1691231,56,36,102,9258,340.6607143,487.9166667,1402475394,223,24.55910217
arraylist,2970947,47,29,122,61282,564.787234,535.7241379,1419476780,26,24.55246079
jpa,504956,24,31,60,8682,504.375,799.5806452,1418642694,36,24.27110336
json,2587435,5,24,37,40777,4919.4,2770.833333,1419472691,26,24.24201103
hibernate,2504224,17,25,66,11747,483.4117647,729,1411811112,115,24.18730357
regex,2225682,11,18,76,119505,279.0909091,420.2222222,1411835396,115,24.18261207
swing,873165,32,27,95,6844,451.03125,552.9259259,1419261117,29,24.17773119
tomcat,438154,7,20,54,103745,648.4285714,1071.95,1412092844,112,24.09663333
user-interface,2189127,4,18,49,21025,2180.25,1547.833333,1417012759,55,23.955615
android,1816356,13,24,56,9233,662.6153846,590.5416667,1410889166,125,23.53740649
