UserID,UserName,Age,Bronze,Silver,Gold,Creation_Date
1556503,Aung Pyae,0,16,6,0,1343357390
2277408,Vladimir Kunschikov,0,7,3,0,1365856049
2228257,Daniel Ziltener,0,9,0,0,1364688406
212997,Kaniabi,38,7,3,0,1258472992
999429,kabal,0,2,0,0,1318864065
3424312,Sidstar,0,6,2,0,1394918843
13,Chris Jester-Young,34,310,230,24,1217564284
2572341,Dexter,21,12,2,0,1373540954
22,maclema,28,38,24,6,1217592671
1802252,Harshit,26,4,0,0,1352185534
3047479,user3047479,0,9,0,0,1385677587
4309083,Craig Leabhart,30,3,0,0,1417364989
81946,evilpenguin,29,41,24,4,1237892391
1753089,Emad,25,8,0,0,1350475391
32797,dnolen,0,58,40,0,1225379703
770068,Lorne Laliberte,42,16,6,0,1306345732
3047439,livthomas,0,5,0,0,1385675968
1458226,CodeBender,28,7,0,0,1339750968
2375680,PetoU,0,4,0,0,1368389710
344096,TheMorph,0,9,2,0,1274191385
2326538,tobs,0,8,0,0,1367056762
540705,Kay,0,6,1,0,1292254013
1458237,djgandy,0,8,2,0,1339751155
2523147,prime,0,23,3,0,1372233742
3194909,Eiland,0,2,0,0,1389718057
1654825,Danstahr,23,27,4,0,1347024226
344116,Andreas Neumann,32,15,6,0,1274192396
2277395,Martin Drautzburg,0,18,2,0,1365855215
1654827,irrenhaus3,0,4,1,0,1347024292
2277393,SooCheng Koh,0,9,0,0,1365855199
770103,Kris,0,15,4,0,1306347274
1851425,nightfox79,0,20,4,1,1353861219
3522570,user3522570,0,7,0,0,1397201217
2326627,tigerjack89,0,13,3,0,1367059314
32834,Frank,0,162,96,26,1225386000
3326071,SearchForKnowledge,0,14,3,0,1392775247
2228325,TonyGW,0,39,16,2,1364692578
2277482,Vinc,0,11,2,1,1365858676
1802325,Juan Garcia,0,11,1,0,1352187776
2179182,arleitiss,0,10,0,0,1363521919
2752635,user2752635,0,7,0,0,1378427456
2850938,Fernando Karpinski,0,5,0,0,1381029428
2326641,VinodBokare,25,2,0,0,1367059868
2523253,Roscoe Lotriet,0,4,0,0,1372235594
442451,GriffeyDog,0,16,9,3,1283951506
2654334,Karthikeyan Sukkoor,28,16,2,0,1375730087
295004,Morrison Chang,0,23,11,2,1268761059
3571822,G.T.,22,14,1,1,1398408838
3145837,user3145837,0,2,3,0,1388393751
344155,Paul Sanwald,38,33,15,1,1274194920
3326060,user3326060,0,5,0,0,1392774664
2670664,rohit yadav,0,1,0,0,1376146443
442466,S.C.,0,11,1,0,1283952154
2670669,fiverivers,0,4,0,0,1376146607
2424896,ntoskrnl,0,18,6,1,1369655848
3047496,bmeurant,35,9,6,0,1385678220
2572352,belafarinrod91,0,8,0,0,1373541082
2277450,Hristova,0,5,0,0,1365857416
163945,Matthew Hannigan,0,6,2,0,1251345618
2523211,ZivS,0,14,1,0,1372234928
3522650,Petr.M,32,4,1,1,1397202438
1654889,user1654889,0,9,0,0,1347025908
1851500,Ahmed Salman Tahir,0,18,7,1,1353864346
3424324,mrudelle,0,2,0,0,1394919236
3473479,user3473479,0,2,0,0,1396024216
3850319,Gersee,0,6,0,0,1405619920
3473472,Chief Cowboy,0,2,0,0,1396024117
3424322,Hawknight,0,7,0,0,1394919187
2572383,paul trmbrth,35,19,5,1,1373541538
1409132,WizardKnight,32,28,8,0,1337651746
